"STATISTIC","Statistic Label","TLIST(A1)","Year","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPA06C01","Residential Property Price Index","2018","2018","08","Dublin City - houses","Base Jan 2005 = 100","113.5"
"HPA06C01","Residential Property Price Index","2018","2018","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","112.2"
"HPA06C01","Residential Property Price Index","2018","2018","10","Fingal - houses","Base Jan 2005 = 100","102.9"
"HPA06C01","Residential Property Price Index","2018","2018","11","South Dublin - houses","Base Jan 2005 = 100","109"
"HPA06C01","Residential Property Price Index","2018","2018","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","97.2"
"HPA06C01","Residential Property Price Index","2018","2018","04","National excluding Dublin - houses","Base Jan 2005 = 100","98.7"
"HPA06C01","Residential Property Price Index","2018","2018","12","National excluding Dublin - apartments","Base Jan 2005 = 100","74.4"
"HPA06C01","Residential Property Price Index","2018","2018","13","Border excluding Louth - houses","Base Jan 2005 = 100","72.7"
"HPA06C01","Residential Property Price Index","2018","2018","14","Midland - houses","Base Jan 2005 = 100","88.3"
"HPA06C01","Residential Property Price Index","2018","2018","15","West - houses","Base Jan 2005 = 100","93.4"
"HPA06C01","Residential Property Price Index","2018","2018","16","Mid-East including Louth - houses","Base Jan 2005 = 100","111"
"HPA06C01","Residential Property Price Index","2018","2018","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","90.3"
"HPA06C01","Residential Property Price Index","2018","2018","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","94.3"
"HPA06C01","Residential Property Price Index","2018","2018","19","South-West - houses","Base Jan 2005 = 100","106.5"
"HPA06C01","Residential Property Price Index","2019","2019","-","National - all residential properties","Base Jan 2005 = 100","107.6"
"HPA06C01","Residential Property Price Index","2019","2019","01","National - houses","Base Jan 2005 = 100","110.9"
"HPA06C01","Residential Property Price Index","2019","2019","02","National - apartments","Base Jan 2005 = 100","89"
